time,买1(度),补1(度),合1(度),买2(度),补2(度),合2(度)
2026-08-22T10:27:32+00:00,82.95,0.0,82.95,,,
2026-08-22T10:56:36+00:00,82.79,0.0,82.79,,,
2026-08-22T11:25:10+00:00,82.75,0.0,82.75,,,
2026-08-22T11:46:08+00:00,82.72,0.0,82.72,,,
2026-08-22T12:01:23+00:00,82.52,0.0,82.52,,,
2026-08-22T12:58:00+00:00,81.53,0.0,81.53,,,
2026-08-22T13:38:09+00:00,81.11,0.0,81.11,,,
2026-08-22T13:57:51+00:00,80.87,0.0,80.87,,,
2026-08-22T14:29:23+00:00,80.54,0.0,80.54,,,
2026-08-22T14:52:22+00:00,80.4,0.0,80.4,,,
2026-08-22T15:21:25+00:00,80.21,0.0,80.21,,,
2026-08-22T15:47:15+00:00,80.05,0.0,80.05,,,
2026-08-22T16:01:18+00:00,79.97,0.0,79.97,,,
2026-08-22T16:37:52+00:00,79.95,0.0,79.95,,,
2026-08-22T16:59:02+00:00,79.23,0.0,79.23,,,
2026-08-22T17:22:07+00:00,78.74,0.0,78.74,24.2,0.0,24.2
2026-08-22T17:50:30+00:00,78.38,0.0,78.38,23.69,0.0,23.69
2026-08-22T18:31:19+00:00,78.13,0.0,78.13,23.05,0.0,23.05
